FERTIALT_NOM_ITK;;betterave_prece_riche_ferti_mine;triticale_ciLong_allprec_ferti_orga_mine;triticale_ciLong_allprec_ferti_mine;tour_all_prece_all_ferti;orgeh_prece_pauvre_ferti_orga_mine;orgep_prece_riche_ferti_orga_mine;colza_prece_riche_ferti_mine;orgep_prece_riche_ferti_orga_mine;orgeh_prece_riche_ferti_orga_mine;orgep_prece_pauvre_ferti_orga_mine;mais_all_prec_ferti_orga_mine;orgeh_prece_pauvre_ferti_mine;orgep_prece_pauvre_ferti_mine;pdt_prece_riche_ferti_orga_mine;orgeh_prece_pauvre_ferti_mine;orgep_prece_pauvre_ferti_mine;pdt_prece_pauvre_ferti_orga_mine;pdt_prece_riche_ferti_orga_mine;orgep_prece_riche_ferti_mine;orgep_prece_pauvre_ferti_orga_mine;pdt_prece_pauvre_ferti_orga_mine;mais_all_prec_ferti_orga_mine;pdt_prece_pauvre_ferti_mine;orgeh_prece_riche_ferti_orga_mine;pdt_prece_pauvre_ferti_orga_mine;pdt_prece_riche_ferti_orga_mine;pdt_prece_pauvre_ferti_mine;orgeh_prece_pauvre_ferti_orga_mine;colza_prece_riche_ferti_mine;orgeh_prece_riche_ferti_mine;pdt_prece_riche_ferti_mine;orgep_prece_riche_ferti_mine;ble_prece_pauvre_ferti_orga_mine;colza_prece_pauvre_ferti_mine;ble_prece_pauvre_ferti_orga_mine;ble_prece_pauvre_ferti_orga_mine;ble_prece_pauvre_ferti_orga_mine;betterave_prece_pauvre_ferti_orga_min;betterave_prece_pauvre_ferti_orga_min;mais_all_prec_ferti_mine;betterave_prece_pauvre_ferti_orga_min;mais_all_prec_ferti_mine;ble_prece_pauvre_ferti_orga_mine;ble_prece_pauvre_ferti_orga_mine;ble_prece_pauvre_ferti_orga_mine;colza_prece_riche_ferti_orga_mine;betterave_prece_riche_ferti_orga_min;colza_prece_riche_ferti_orga_mine;ble_prece_pauvre_ferti_orga_mine;ble_prece_pauvre_ferti_orga_mine;ble_prece_pauvre_ferti_orga_mine;ble_prece_pauvre_ferti_orga_mine;colza_prece_riche_ferti_orga_mine;ble_prece_pauvre_ferti_mine;colza_prece_riche_ferti_orga_mine;colza_prece_riche_ferti_orga_mine;ble_prece_pauvre_ferti_orga_mine;colza_prece_pauvre_ferti_mine;colza_prece_riche_ferti_orga_mine;colza_prece_riche_ferti_orga_mine;ble_prece_pauvre_ferti_orga_mine;colza_prece_riche_ferti_orga_mine;ble_prece_pauvre_ferti_orga_mine;colza_prece_riche_ferti_orga_mine;colza_prece_riche_ferti_orga_mine;ble_prece_pauvre_ferti_orga_mine;colza_prece_pauvre_ferti_orga_mine;ble_prece_pauvre_ferti_orga_mine;colza_prece_riche_ferti_orga_mine;colza_prece_riche_ferti_orga_mine;colza_prece_riche_ferti_orga_mine;colza_prece_pauvre_ferti_orga_mine;colza_prece_pauvre_ferti_orga_mine;colza_prece_riche_ferti_orga_mine;colza_prece_riche_ferti_orga_mine;colza_prece_riche_ferti_orga_mine;ble_prece_pauvre_ferti_orga_mine;ble_prece_pauvre_ferti_mine;ble_prece_pauvre_ferti_orga_mine;ble_prece_pauvre_ferti_mine;betterave_prece_riche_ferti_orga_min;betterave_prece_pauvre_ferti_mine;colza_prece_pauvre_ferti_orga_mine;betterave_prece_riche_ferti_orga_min;ble_prece_pauvre_ferti_orga_mine;colza_prece_pauvre_ferti_orga_mine;colza_prece_pauvre_ferti_orga_mine;colza_prece_pauvre_ferti_orga_mine;colza_prece_pauvre_ferti_orga_mine;colza_prece_pauvre_ferti_orga_mine;colza_prece_pauvre_ferti_orga_mine;colza_prece_pauvre_ferti_orga_mine;colza_prece_pauvre_ferti_orga_mine;colza_prece_pauvre_ferti_orga_mine;colza_prece_pauvre_ferti_orga_mine;civeHiver8_allprec_allferti;civeEte_allprec_allferti;civeHiver4_allprec_allferti;civeHiver8_allprec_allferti;civeHiver8_allprec_allferti;civeEte_allprec_allferti;civeHiver8_allprec_allferti;civeHiver4_allprec_allferti;orgeh_prece_riche_ferti_mine;betterave_prece_pauvre_ferti_orga_min;pdt_prece_riche_ferti_mine;ble_prece_riche_ferti_mine;mais_all_prec_ferti_orga_mine;colza_prece_pauvre_ferti_orga_mine;ble_prece_riche_ferti_mine;ble_prece_riche_ferti_mine;ble_prece_riche_ferti_orga_mine;pdt_prece_riche_ferti_mine;ble_prece_riche_ferti_orga_mine;betterave_prece_pauvre_ferti_mine;pdt_prece_riche_ferti_mine;pdt_prece_pauvre_ferti_mine;pdt_prece_pauvre_ferti_mine;ble_prece_riche_ferti_orga_mine;pdt_prece_riche_ferti_orga_mine;ble_prece_riche_ferti_orga_mine;ble_prece_riche_ferti_orga_mine;ble_prece_riche_ferti_orga_mine;betterave_prece_riche_ferti_mine;ble_prece_riche_ferti_orga_mine;ble_prece_riche_ferti_orga_mine;ble_prece_riche_ferti_orga_mine;ble_prece_riche_ferti_orga_mine;ble_prece_riche_ferti_orga_mine;betterave_prece_riche_ferti_mine;ble_prece_riche_ferti_orga_mine;ble_prece_riche_ferti_orga_mine;pdt_prece_pauvre_ferti_orga_mine;ble_prece_riche_ferti_orga_mine;betterave_prece_riche_ferti_mine;ble_prece_riche_ferti_orga_mine;ble_prece_riche_ferti_orga_mine;ble_prece_riche_ferti_orga_mine;betterave_prece_riche_ferti_orga_min;ble_prece_riche_ferti_orga_mine;betterave_prece_pauvre_ferti_mine;ble_prece_riche_ferti_orga_mine;betterave_prece_pauvre_ferti_mine
FERTIALT_NOM_ALTERNATIVE;;Apport_mineral;Apport_org_min;Apport_min;ferti_min;ferti_strat1;start_orga_min;apport_mineral;start_orga_min;Nom strategie1;Nom strategie 1;Nom strategie 1;Nom strategie 1;Nom strategie 2;strat1_ferti_orga_min;Nom strategie 1;Nom strategie 2;ferti_orga_min;strat1_ferti_orga_min;apport_mineral;Nom strategie 1;ferti_orga_min;Nom strategie 1;apport_mineral;Nom strategie1;ferti_orga_min;strat1_ferti_orga_min;apport_mineral;ferti_strat1;apport_mineral;Nom strategie1;strat1_ferti_min;apport_mineral;stategie4;apport_mineral;stategie2;stategie3;stategie2;Apport_orga_min;Apport_orga_min;strategie1;Apport_orga_min;strategie1;stategie4;stategie4;stategie5;strategie2;Apport_orga_min;strategie2;stategie3;stategie4;stategie1;stategie5;strategie4;strategie1;strategie1;strategie3;stategie5;apport_mineral;strategie3;strategie3;stategie3;strategie1;stategie1;strategie1;strategie4;stategie3;strategie4;stategie1;strategie5;strategie5;strategie4;strategie5;strategie5;strategie2;strategie4;strategie3;stategie1;strategie1;stategie2;strategie1;Apport_orga_min;Apport_mineral;strategie4;Apport_orga_min;stategie2;strategie2;strategie2;strategie1;strategie1;strategie4;strategie3;strategie3;strategie3;strategie2;strategie1;ferti_min;ferti_min;ferti_min;ferti_digestat_min;ferti_min;ferti_digestat;ferti_digestat_min;ferti_digestat_min;Nom strategie1;Apport_orga_min;strat1_ferti_min;strategie1;Nom strategie 1;strategie4;strategie1;strategie1;stategie1;strat1_ferti_min;stategie2;Apport_mineral;strat1_ferti_min;apport_mineral;apport_mineral;stategie2;strat1_ferti_orga_min;stategie2;stategie2;stategie3;Apport_mineral;stategie3;stategie3;stategie3;stategie4;stategie4;Apport_mineral;stategie4;stategie4;ferti_orga_min;stategie5;Apport_mineral;stategie5;stategie1;stategie1;Apport_orga_min;stategie5;Apport_mineral;stategie1;Apport_mineral
FERTIALT_ORDRE_ALTERNATIVE;;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;2;3;2;1;1;1;1;1;4;4;5;2;1;2;3;4;1;5;4;1;1;3;5;1;3;3;3;1;1;1;4;3;4;1;5;5;4;5;5;2;4;3;1;1;2;1;1;1;4;1;2;2;2;1;1;4;3;3;3;2;1;2;2;2;1;2;1;1;1;1;1;1;1;1;4;1;1;1;1;2;1;1;1;1;2;1;2;2;3;1;3;3;3;4;4;1;4;4;1;5;1;5;1;1;1;5;1;1;1
FERTIALT_ORDRE_APPORT;;1;1;1;1;2;1;2;2;2;2;2;1;1;1;2;2;2;3;1;1;3;1;1;1;1;2;2;1;1;2;2;2;1;2;4;3;3;1;2;1;3;2;2;3;3;3;3;1;1;4;2;1;3;1;2;3;2;1;2;4;4;3;1;1;2;2;3;4;1;2;4;1;2;2;1;1;3;2;2;3;2;1;1;1;1;3;1;1;3;2;3;1;2;2;2;1;1;1;1;2;1;2;1;1;4;1;3;3;4;1;2;4;3;1;3;4;3;4;4;4;2;3;3;2;1;4;2;1;2;3;4;3;4;1;4;2;2;3;4;3;2;1;4
FERTIALT_NOM_PRODUIT;;N_solutions;compost dechets verts;digestat liquide;AN;N_solutions;N_solutions;AN;N_solutions;N_solutions;N_solutions;NP;N_solutions;N_solutions;compost de fumier bovin;N_solutions;N_solutions;K;N_solutions;N_solutions;N_solutions;N_solutions;fumier bovin;P;N_solutions;compost de fumier bovin;K;K;N_solutions;NPK;N_solutions;N_solutions;N_solutions;fumier de cheval;AN;AN;N_solutions;N_solutions;boue urbaine liquide;K;NP;N_solutions;N_solutions;N_solutions;N_solutions;AN;AN;N_solutions;fumier bovin;compost dechets verts;AN;N_solutions;N_solutions;AN;N_solutions;N_solutions;AN;N_solutions;NPK;AN;AN;AN;N_solutions;fumier bovin;lisier bovin;AN;N_solutions;AN;AN;NPK;AN;AN;NPK;AN;N_solutions;fumier de cheval;compost dechets verts;N_solutions;N_solutions;N_solutions;AN;K;N_solutions;fumier de cheval;boue urbaine liquide;boue urbaine liquide;AN;compost de dechets verts et boue;lisier bovin;N_solutions;AN;AN;compost dechets verts;AN;AN;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;digestat brut;digestat brut;digestat brut;N_solutions;NP;P;AN;N_solutions;AN;N_solutions;N_solutions;AN;K;boue urbaine liquide;K;N_solutions;N_solutions;N_solutions;AN;N_solutions;N_solutions;N_solutions;N_solutions;NP;compost dechets verts;AN;N_solutions;fumier de cheval;N_solutions;K;AN;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;N_solutions;NP;AN;NP;fumier bovin;N_solutions
FERTIALT_DOSE;DOSE;64.896;25;100;69.96;76.8;39;88.77;69;76.8;84;18;22.95;39;40;76.8;69;0;60;39;39;60;30;0;22.95;40;0;0;22.95;79.86;76.8;90;69;20;98.67;39.27;99.9;99.9;35;0;18;54;129.9;60;99;52.8;43.89;54;25;25;39.27;60;60;72.63;60;30.9;88.77;99.9;90.42;78.87;88.77;39.27;30.9;5;40;88.77;60;98.67;39.27;79.86;88.77;88.77;89.98;98.67;49.8;20;25;99.9;99.9;39.9;52.8;0;64.896;20;35;18.5;78.87;18.3;40;31.5;88.77;88.77;25;78.87;68.97;31.5;48;48;48;48;48;12;20;12;22.95;48.6;0;52.8;99.9;98.67;60;80.1;39.27;0;18.5;0;60;60;90;39.27;90;39.9;99.9;99.9;48.6;25;39.27;60;20;60;0;39.27;99.9;90;60;54;99.9;60;99.9;48.6;52.8;48.6;5;54
FERTIALT_DOSE_P;DOSE_P;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;39.93;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45.21;0;0;0;0;0;0;0;0;0;0;39.93;0;0;44.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124.2;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124.2;0;124.2;0;0
FERTIALT_DOSE_K;DOSE_K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;246;0;0;0;0;0;0;0;0;246;246;0;39.93;0;0;0;0;0;0;0;0;0;164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45.21;0;0;0;0;0;0;0;0;0;0;39.93;0;0;44.99;0;0;0;0;0;0;0;0;164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;246;0;246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;246;0;0;0;0;0;0;0;0;0;0;0;0;0
FERTIALT_PROF_WSOL;EFFET_RUs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FERTIALT_AGRIW;;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;;oui;oui;oui;;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui;oui
FERTIALT_OUTIL;;0;NA;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0.6;0;0;0;0;NA;0;0;NA;0.6;0.6;0;0.11;0;0;0;NA;0;0;0;0;NA;0.4;0;0;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0.11;0;0;0;0;NA;NA;0;0;0;0;0.11;0;0;0.11;0;0;NA;NA;0;0;0;0;0.4;0;NA;NA;NA;0;NA;NA;0;0;0;NA;0;0;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0.6;NA;0.6;0;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0.6;0;0;0;0;0;0;0;0;0;0;0;NA;0
