NOM_ITK_AFFICHAGE;X.;gel;bleTH_precColzaH_argileux;bleTH_precColzaH_argilolimoneux;bleTH_precColzaHPoisP_trouges;bleTH_precCultPrint_trouges;bleTH_precCultPrint_crayeux;triticale_precColzaH_argileux;triticale_precColzaH_argilolimoneux;orgeH_precMaisEnsil_argileux;orgeH_precMaisEnsil_argilolimoneux;orgeH_precMaisEnsil_limonosableux;orgeH_precCP_argileux;ci_avantmaisEnsil_argileux;orgeH_precCP_argilolimoneux;ci_avantmais_argilolimoneux;bleTH_precMaisEnsil_argileux;triticale_precColzaH_limonosableux;orgeH_precCP_limonosableux;ci_avantmais_limonosableux;orgeH_precCP_trouges;cultP_precCP_trouges;orgeH_precCP_crayeux;cultP_precCP_crayeux;bleTH_precColzaH_limonosableux;bleTH_precMaisEnsil_argilolimoneux;bleTH_precMaisEnsil_limonosableux;orgeP_precCP_argileux;poisP_precAll_limonosableux;poisP_precAll_argilolimoneux;orgeP_precCP_trouges;orgeP_precCP_crayeux;orgeP_precCP_limonosableux;orgeP_precCP_argilolimoneux;maisEnsil_precCP_argileux;maisEnsil_precCP_argilolimoneux;maisEnsil_precCP_limonosableux;tournesol_precAll_limonosableux;tournesol_precAll_argilolimoneux;tournesol_precAll_argileux;triticale_precMaisEnsil_limonosableux;triticale_precMaisEnsil_argileux;triticale_precMaisEnsil_argilolimoneux;colzaH_precCP_argileux;colzaH_precCP_argilolimoneux;colzaH_precCP_limonosableux;colzaH_precCP_trouges;colzaH_precCP_crayeux;luzerne_precAll_argileux;luzerne_precAll_argilolimoneux;poisP_precAll_argileux;luzerne_precAll_limonosableux;ciVesce_precOrgeH_tousSols;ciVesce_precCP_tousSols;ciVesce_precOrgeP_tousSols;ciFeverole_precTour_tousSols;ciFeverole_precTriticale_tousSols;ciFeverole_precPrairieCP_tousSols;ciFeverole_precCP_tousSols;ciFeverole_precPoisP_tousSols;ciFeverole_precColza_argileux;ciFeverole_precColza_argilolimoneux;ciFeverole_precOrgeH_tousSols;ciFeverole_precSoja_tousSols;ciFeverole_precMaisEnsil_tousSols;ciTriticaleVert_precTour_tousSols;ciTriticaleVert_precTriticale_tousSols;ciTriticaleVert_precMaisEnsilP_tousSols;ciTriticaleVert_precOrgeP_tousSols;ciTriticaleVert_precPrairieCP_tousSols;ciTriticaleVert_precCP_tousSols;ciTriticaleVert_precPoisP_tousSols;ciTriticaleVert_precColza_argileux;ciTriticaleVert_precColza_argilolimoneux;ciTriticaleVert_precOrgeH_tousSols;ciTriticaleVert_precSoja_tousSols;ciFeverole_precLuzerne_tousSols;ciTriticaleVert_precLuzerne_tousSols;soja_precTritiVert_tousSols;ciFeverole_precOrgeP_tousSols;luzerne_precSoja_tousSols;maisEnsilP_precCITritiVert_tousSols;prairieCP_precAll_TousSols;gel_precAll_tousSols;poisp_ciFeverole_argilolimoneux;poisp_ciFeverole_argileux;orgep_precCiFeverole_argileux;orgep_precCiFeverole_argilolimoneux
ID_ITK;[NA];gel_tous_tous_NA;bleTH_precColzaH_argileux;bleTH_precColzaH_argilolimoneux;bleTH_precColzaHPoisP_trouges;bleTH_precCultPrint_trouges;bleTH_precCultPrint_crayeux;triticale_precColzaH_argileux;triticale_precColzaH_argilolimoneux;orgeH_precMaisEnsil_argileux;orgeH_precMaisEnsil_argilolimoneux;orgeH_precMaisEnsil_limonosableux;orgeH_precCP_argileux;ci_avantmaisEnsil_argileux;orgeH_precCP_argilolimoneux;ci_avantmais_argilolimoneux;bleTH_precMaisEnsil_argileux;triticale_precColzaH_limonosableux;orgeH_precCP_limonosableux;ci_avantmais_limonosableux;orgeH_precCP_trouges;cultP_precCP_trouges;orgeH_precCP_crayeux;cultP_precCP_crayeux;bleTH_precColzaH_limonosableux;bleTH_precMaisEnsil_argilolimoneux;bleTH_precMaisEnsil_limonosableux;orgeP_precCP_argileux;poisP_precAll_limonosableux;poisP_precAll_argilolimoneux;orgeP_precCP_trouges;orgeP_precCP_crayeux;orgeP_precCP_limonosableux;orgeP_precCP_argilolimoneux;maisEnsil_precCP_argileux;maisEnsil_precCP_argilolimoneux;maisEnsil_precCP_limonosableux;tournesol_precAll_limonosableux;tournesol_precAll_argilolimoneux;tournesol_precAll_argileux;triticale_precMaisEnsil_limonosableux;triticale_precMaisEnsil_argileux;triticale_precMaisEnsil_argilolimoneux;colzaH_precCP_argileux;colzaH_precCP_argilolimoneux;colzaH_precCP_limonosableux;colzaH_precCP_trouges;colzaH_precCP_crayeux;luzerne_precAll_argileux;luzerne_precAll_argilolimoneux;poisP_precAll_argileux;luzerne_precAll_limonosableux;ciVesce_precOrgeH_tousSols;ciVesce_precCP_tousSols;ciVesce_precOrgeP_tousSols;ciFeverole_precTour_tousSols;ciFeverole_precTriticale_tousSols;ciFeverole_precPrairieCP_tousSols;ciFeverole_precCP_tousSols;ciFeverole_precPoisP_tousSols;ciFeverole_precColza_argileux;ciFeverole_precColza_argilolimoneux;ciFeverole_precOrgeH_tousSols;ciFeverole_precSoja_tousSols;ciFeverole_precMaisEnsil_tousSols;ciTriticaleVert_precTour_tousSols;ciTriticaleVert_precTriticale_tousSols;ciTriticaleVert_precMaisEnsilP_tousSols;ciTriticaleVert_precOrgeP_tousSols;ciTriticaleVert_precPrairieCP_tousSols;ciTriticaleVert_precCP_tousSols;ciTriticaleVert_precPoisP_tousSols;ciTriticaleVert_precColza_argileux;ciTriticaleVert_precColza_argilolimoneux;ciTriticaleVert_precOrgeH_tousSols;ciTriticaleVert_precSoja_tousSols;ciFeverole_precLuzerne_tousSols;ciTriticaleVert_precLuzerne_tousSols;soja_precTritiVert_tousSols;ciFeverole_precOrgeP_tousSols;luzerne_precSoja_tousSols;maisEnsilP_precCITritiVert_tousSols;prairieCP_precAll_TousSols;gel_precAll_tousSols;poisp_ciFeverole_argilolimoneux;poisp_ciFeverole_argileux;orgep_precCiFeverole_argileux;orgep_precCiFeverole_argilolimoneux
IDS_SDCS;[NA];*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
IDS_SDCS_CLASS;[NA];*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
ID_ESPECE;[NA];gel;CP;CP;CP;CP;CP;triticale;triticale;orgeh;orgeh;orgeh;orgeh;ciCruciCourt;orgeh;ciCruciCourt;CP;triticale;orgeh;ciCruciCourt;orgeh;culture_printemps;orgeh;culture_printemps;CP;CP;CP;orgep;poisp;poisp;orgep;orgep;orgep;orgep;maisEnsil;maisEnsil;maisEnsil;tour;tour;tour;triticale;triticale;triticale;colza;colza;colza;colza;colza;luzerne;luzerne;poisp;luzerne;ciVesce;ciVesce;ciVesce;ciFeverole;ciFeverole;ciFeverole;ciFeverole;ciFeverole;ciFeverole;ciFeverole;ciFeverole;ciFeverole;ciFeverole;ciTriticaleVert;ciTriticaleVert;ciTriticaleVert;ciTriticaleVert;ciTriticaleVert;ciTriticaleVert;ciTriticaleVert;ciTriticaleVert;ciTriticaleVert;ciTriticaleVert;ciTriticaleVert;ciFeverole;ciTriticaleVert;soja;ciFeverole;luzerne;maisEnsilP;prairieCP;gel;poisp;poisp;orgep;orgep
MATERIEL;[NA];*;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ID_PREC;[NA];*;gel|prairieCP|CP|colza|orgeh|orgep|poisp|triticale;gel|prairieCP|CP|colza|orgeh|orgep|poisp|triticale;colza|poisp;gel|culture_printemps|orgep|maisEnsil|tour;gel|culture_printemps|colza|orgep|maisEnsil|poisp|tour;gel|prairieCP|triticale|CP|colza|orgeh|orgep|poisp;gel|prairieCP|triticale|CP|colza|orgeh|orgep|poisp;soja|maisEnsilP|ciVesce|maisEnsil|tour;soja|maisEnsilP|ciVesce|maisEnsil|tour;soja|maisEnsilP|ciVesce|maisEnsil|tour;gel|prairieCP|orgeh|orgep|poisp|triticale|CP|colza;ciCruciCourt|gel|prairieCP|luzerne|soja|sorgho|feverole|tour|triticale|poisp|maisEnsil|orgep|orgeh|colza|CP|culture_printemps;gel|prairieCP|luzerne|orgeh|orgep|poisp|triticale|CP|colza;ciCruciCourt|gel|prairieCP|luzerne|soja|sorgho|feverole|tour|triticale|poisp|maisEnsil|orgep|orgeh|colza|CP|culture_printemps;soja|maisEnsilP|ciVesce|maisEnsil|tour;gel|prairieCP|triticale|CP|colza|orgeh|orgep|poisp;gel|prairieCP|orgeh|orgep|poisp|triticale|CP|colza;ciCruciCourt|gel|prairieCP|luzerne|soja|sorgho|feverole|tour|triticale|poisp|maisEnsil|orgep|orgeh|colza|CP|culture_printemps;gel|orgeh|triticale|CP;gel|triticale|orgeh|CP;gel|orgeh|triticale|CP;gel|triticale|orgeh|CP;gel|prairieCP|CP|colza|orgeh|orgep|poisp|triticale;soja|maisEnsilP|ciVesce|maisEnsil|tour;soja|maisEnsilP|ciVesce|maisEnsil|tour;soja|maisEnsilP|gel|prairieCP|orgep|maisEnsil|poisp|triticale|tour|CP|colza|orgeh;ciFeverole|ciCruciCourt|gel|prairieCP|luzerne|culture_printemps|poisp|triticale|tour|feverole|sorgho|soja|CP|colza|orgeh|orgep|maisEnsil;ciCruciCourt|gel|prairieCP|luzerne|culture_printemps|poisp|triticale|tour|feverole|sorgho|soja|CP|colza|orgeh|orgep|maisEnsil;soja|maisEnsilP|ciFeverole|gel|triticale|CP|orgeh;soja|maisEnsilP|ciFeverole|gel|triticale|CP|orgeh;soja|maisEnsilP|ciFeverole|gel|prairieCP|orgep|maisEnsil|poisp|triticale|tour|CP|colza|orgeh;soja|maisEnsilP|gel|prairieCP|orgep|maisEnsil|poisp|triticale|tour|CP|colza|orgeh;ciFeverole|ciCruciCourt|gel|prairieCP|luzerne|ciCruciCourt|maisEnsil|poisp|triticale|tour|CP|colza|orgeh|orgep;ciFeverole|ciCruciCourt|gel|prairieCP|luzerne|maisEnsil|poisp|triticale|tour|CP|colza|orgeh|orgep;ciFeverole|ciCruciCourt|gel|prairieCP|luzerne|maisEnsil|poisp|triticale|tour|CP|colza|orgeh|orgep;ciTriticaleVert|ciFeverole|ciCruciCourt|gel|prairieCP|culture_printemps|tour|feverole|sorgho|soja|CP|colza|orgeh|orgep|luzerne|maisEnsil|poisp|triticale;ciTriticaleVert|ciFeverole|ciCruciCourt|gel|prairieCP|culture_printemps|tour|feverole|sorgho|soja|CP|colza|orgeh|orgep|luzerne|maisEnsil|poisp|triticale;ciTriticaleVert|ciFeverole|ciCruciCourt|gel|prairieCP|culture_printemps|tour|feverole|sorgho|soja|CP|colza|orgeh|orgep|luzerne|maisEnsil|poisp|triticale;soja|maisEnsilP|tour|maisEnsil;soja|maisEnsilP|tour|maisEnsil;soja|maisEnsilP|tour|maisEnsil;maisEnsilP|gel|prairieCP|colza|orgeh|orgep|maisEnsil|luzerne|poisp|triticale|tour|CP;maisEnsilP|ciCruciCourt|gel|prairieCP|culture_printemps|colza|orgeh|orgep|maisEnsil|luzerne|poisp|triticale|tour|feverole|sorgho|soja|CP;maisEnsilP|gel|prairieCP|colza|orgeh|orgep|maisEnsil|luzerne|poisp|triticale|tour|CP;maisEnsilP|gel|orgeh|triticale|CP;maisEnsilP|gel|orgeh|triticale|CP;maisEnsilP|ciCruciCourt|gel|prairieCP|luzerne|culture_printemps|triticale|tour|feverole|sorgho|CP|colza|orgeh|orgep|maisEnsil|poisp;maisEnsilP|ciCruciCourt|gel|prairieCP|luzerne|culture_printemps|triticale|tour|feverole|sorgho|CP|colza|orgeh|orgep|maisEnsil|poisp;ciCruciCourt|gel|prairieCP|luzerne|culture_printemps|poisp|triticale|tour|feverole|sorgho|soja|CP|colza|orgeh|orgep|maisEnsil;maisEnsilP|ciCruciCourt|gel|prairieCP|luzerne|culture_printemps|triticale|tour|feverole|sorgho|CP|colza|orgeh|orgep|maisEnsil|poisp;orgeh;CP;orgep;tour;triticale;prairieCP;CP;poisp;colza;colza;orgeh|gel;soja;maisEnsilP|maisEnsil;tour;triticale;maisEnsilP;orgep;prairieCP;CP;poisp;colza;colza;orgeh|gel;soja;luzerne;luzerne;ciTriticaleVert;orgep;soja;ciTriticaleVert;soja|maisEnsilP|ciTriticaleVert|ciFeverole|ciVesce|ciCruciCourt|gel|prairieCP|triticale|soja|luzerne|poisp|feverole|orgep|orgeh|maisEnsil|tour|colza|CP;soja|maisEnsilP|ciTriticaleVert|ciFeverole|ciVesce|ciCruciCourt|gel|prairieCP|triticale|soja|luzerne|poisp|feverole|orgep|orgeh|maisEnsil|tour|colza|CP;ciFeverole;ciFeverole;ciFeverole;ciFeverole
ZONE_PEDO;[NA];*;argileux;limono-argileux|argilo-limoneux;terres rouges;terres rouges;crayeux;argileux;limono-argileux|argilo-limoneux;argileux;limono-argileux|argilo-limoneux;limono-sableux;argileux;argileux;limono-argileux|argilo-limoneux;limono-argileux|argilo-limoneux;argileux;limono-sableux;limono-sableux;limono-sableux;terres rouges;terres rouges;crayeux;crayeux;limono-sableux;limono-argileux|argilo-limoneux;limono-sableux;argileux;limono-sableux;limono-argileux|argilo-limoneux;terres rouges;crayeux;limono-sableux;limono-argileux|argilo-limoneux;argileux;limono-argileux|argilo-limoneux;limono-sableux;limono-sableux;limono-argileux|argilo-limoneux;argileux;limono-sableux;argileux;limono-argileux|argilo-limoneux;argileux;limono-argileux|argilo-limoneux;limono-sableux;terres rouges;crayeux;argileux;limono-argileux|argilo-limoneux;argileux;limono-sableux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|argileux;limono-argileux|argilo-limoneux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|argileux;limono-argileux|argilo-limoneux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;limono-argileux|argilo-limoneux|argileux|limono-sableux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;crayeux|terres rouges|sableux|limono-sableux|limono-argileux|argilo-limoneux|argileux;limono-argileux|argilo-limoneux|limono-sableux;argileux;argileux;limono-argileux|argilo-limoneux|limono-sableux
ZONE_PEDO_CLASS;[NA];tous;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TYPE_EXPL;[NA];all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all;all
